,Isotope,Decay Energy (keV),Half-life (seconds)
343,96Tc,34.23,3090.0
344,96Tc,121.24,2.5600000000000004e-08
345,96Rh,51.98,90.6
346,96Pd,2530.57,1.75e-06
347,96Pd,7040.0,3.5e-08
348,96Pd,8385.1,3.770000000000001e-08
349,96Ag,2461.4,9.999999999999999e-05
350,97Sr,308.13,1.7000000000000001e-07
351,97Sr,830.83,5.15e-07
352,97Y,667.52,1.17
353,97Y,3522.6,0.14200000000000002
354,97Zr,1264.35,1.06e-07
355,97Nb,743.35,58.7
356,97Tc,96.57,7862400.0
357,97Rh,258.76,2772.0
358,98Rb,178.4,3.5799999999999995e-07
359,98Sr,215.35,2.2800000000000002e-08
360,98Sr,1838.2,1.3e-08
361,98Y,170.74,6.1e-07
362,98Y,374.91,3.5799999999999996e-08
363,98Y,240.0,2.0
364,98Y,496.19,6.8699999999999994e-06
365,98Y,1182.0,8e-07
366,98Zr,854.02,6.4e-08
367,98Zr,6603.7,1.6999999999999998e-06
368,98Nb,84.0,3078.0
369,98Mo,734.75,2.1800000000000003e-08
370,98Tc,90.76,1.4699999999999998e-05
371,98Ag,167.83,2.2e-07
372,98Cd,2428.0,1.7000000000000001e-07
373,98Cd,6635.1,2.3e-07
374,99Y,2141.65,8e-06
375,99Zr,251.96,2.9300000000000004e-07
376,99Zr,1038.5,5.4e-08
377,99Nb,365.27,150.0
378,99Mo,97.785,1.55e-05
379,99Mo,684.1,7.599999999999999e-07
380,99Tc,142.6832,21624.120000000003
381,99Ru,89.57,2.05e-08
382,99Rh,65.5,16920.0
383,99Ag,506.2,10.5
384,99Cd,2057.5,1.31e-08
385,100Sr,1618.72,1.2199999999999998e-07
386,100Y,145.0,0.94
387,100Nb,314.0,2.99
388,100Tc,200.67,8.32e-06
389,100Tc,243.95,3.2e-06
390,100Rh,32.696,2.7600000000000002e-08
391,100Rh,74.782,2.14e-07
392,100Rh,107.6,276.0
393,100Rh,219.61,1.3e-07
394,100Ag,15.52,134.4
395,100Cd,2548.19,6.000000000000001e-08
396,101Zr,941.81,1.6e-08
397,101Mo,13.497,2.26e-07
398,101Mo,57.015,1.33e-07
399,101Mo,273.0,9.5e-08
400,101Tc,9.32,1.4300000000000002e-08
401,101Tc,15.602,2.6800000000000002e-08
402,101Tc,207.526,0.000636
403,101Ru,527.56,1.75e-05
404,101Rh,157.32,374976.0
405,101Ag,274.1,3.1
406,102Nb,93.0,1.3
407,102Rh,41.94,1.89e-08
408,102Rh,140.73,118007712.0
409,102Pd,1593.16,1.45e-08
410,102Ag,9.4,462.0
411,102Cd,2718.6,3.9000000000000005e-08
412,103Ru,238.2,0.0016899999999999999
