,Isotope,Decay Energy (keV),Half-life (seconds)
338,94Tc,76.0,3120.0
339,94Ru,2498.0,6.45e-08
340,94Ru,2644.1,6.8e-05
341,94Rh,54.6,4.8e-07
342,94Pd,4883.1,5.149999999999999e-07
343,94Pd,7209.8,2.1700000000000002e-07
344,95Br,537.9,6.7e-06
345,95Kr,195.5,1.5789999999999998e-06
346,95Rb,810.57,9.400000000000001e-08
347,95Sr,556.08,2.16e-08
348,95Y,1087.6,4.86e-05
349,95Y,3142.5,1.6e-08
350,95Y,5022.2,6.5e-08
351,95Nb,235.69,311904.0
352,95Tc,38.91,5353344.0
353,95Ru,2538.0,1.005e-08
354,95Rh,543.3,117.6
355,95Rh,2236.37,1.8800000000000003e-08
356,95Pd,1875.13,13.3
357,96Rb,1134.6,1.77e-06
358,96Sr,3523.7,1e-08
359,96Y,1540.5,9.6
360,96Y,1655.1,1.8100000000000002e-07
361,96Zr,1581.64,3.8e-08
362,96Tc,34.23,3090.0
363,96Tc,121.24,2.5600000000000004e-08
364,96Rh,51.98,90.6
365,96Pd,2530.57,1.811e-06
366,96Pd,7040.0,3.5e-08
367,96Pd,8385.1,3.770000000000001e-08
368,96Ag,2461.4,0.000103
369,96Ag,2686.7,1.5599999999999999e-06
370,96Ag,6951.8,1.36e-07
371,96Cd,5605.0,1.97e-07
372,96Cd,5810.0,0.5
373,97Rb,76.6,5.7e-06
374,97Sr,308.13,1.73e-07
375,97Y,667.52,1.17
376,97Y,3522.6,0.14200000000000002
377,97Zr,1264.35,1.05e-07
378,97Nb,743.35,58.7
379,97Tc,96.57,7862400.0
380,97Rh,258.76,2772.0
381,97Cd,2620.0,3.86
382,98Rb,178.3,3.5799999999999995e-07
383,98Sr,215.35,2.2800000000000002e-08
384,98Sr,1838.2,1.3e-08
385,98Y,170.78,6.2e-07
386,98Y,374.97,3.5200000000000004e-08
387,98Y,465.7,2.32
388,98Y,496.1,6.9e-06
389,98Y,972.17,4.5e-07
390,98Y,1181.5,7.799999999999999e-07
391,98Zr,854.06,6.4e-08
392,98Zr,6601.9,1.8999999999999998e-06
393,98Nb,84.0,3078.0
394,98Mo,734.75,2.1800000000000003e-08
395,98Rh,56.3,216.0
396,98Ag,107.28,1.61e-07
397,98Ag,167.83,2.2e-07
398,98Cd,2281.1,1.3e-08
399,98Cd,2428.3,1.54e-07
400,98Cd,6635.1,2.23e-07
401,98In,820.0,0.89
402,99Y,2141.65,8e-06
403,99Zr,251.96,3.35e-07
404,99Zr,1038.5,5.4e-08
405,99Nb,365.27,150.0
406,99Mo,97.785,1.55e-05
407,99Mo,684.1,7.420000000000001e-07
408,99Ru,89.57,2.05e-08
409,99Rh,64.4,16920.0
410,99Ag,506.2,10.5
411,99Cd,2057.5,1.31e-08
412,100Sr,1618.72,1.2199999999999998e-07
413,100Y,145.0,0.94
414,100Nb,314.0,2.99
415,100Tc,200.67,8.32e-06
