,AAA,ZZZi,A El,s,Mass #,dMass #,Exc #,dE #,Orig,Isom.Unc,Isom.Inv,T #,unit T,dT,Jpi */#/T=,Ensdf year,Discovery,BR,T in s
5360,42,971,242Bk,,59750#      ,240#      ,2000#      ,200#      , ,,,600     ,ns,100    ,              ,02,1972,SF~100;IT ?,1.901285268841737e-14
5361,42,973,242Bk,,57900       , 90       , 150#      ,100#      , ,,,        ,  ,       ,4-            ,  ,,,unknown
5362,42,980,242Cf,,59387       , 13       ,           ,          , ,,,  3.49  , m,0.15   ,0+            ,02,1967,A=61 3;B+=39 3;SF<0.014,6.635485588257662e-06
5363,42,990,242Es,,64800#      ,260#      ,           ,          , ,,, 17.8   , s,1.6    ,2+#           ,02,1994,A=57 3;B+=43 3;B+SF=0.6 2,5.640479630897152e-07
5364,42,000,242Fm,,68400#      ,400#      ,           ,          , ,,,800     ,us,200    ,0+            ,02,1975,SF~100;A ?,2.535047025122316e-11
5365,43,920,243U,,62480#      ,300#      ,           ,          , ,,, 16#    , m,       ,9/2-#         ,  ,    ,B- ?,3.042056430146779e-05
5366,43,930,243Np,,59810#      , 30#      ,           ,          , ,,,  1.85  , m,0.15   ,5/2+#         ,14,1979,B-=100,3.5173777473572135e-06
5367,43,933,243Np,,59926       , 10       , 120#      , 30#      ,m,,,        ,  ,       ,5/2-#         ,  ,,,unknown
5368,43,940,243Pu,,57754.6     ,  2.5     ,           ,          , ,,,  4.9553, h,0.0025 ,7/2+          ,14,1951,B-=100,0.0005652863335614876
5369,43,941,243Pu,,58138.2     ,  2.5     , 383.64    ,  0.25    , ,,,330     ,ns,30     ,(1/2+)        ,14,1975,IT=100,1.0457068978629554e-14
5370,43,950,243Am,,57175.0     ,  1.4     ,           ,          , ,,,  7.350 ,ky,0.009  ,5/2-*         ,14,1950,A=100;SF=3.7e-9 9,7350.0
5371,43,951,243Am,,59480       ,200       ,2300       ,200       , ,,,  5.5   ,us,0.5    ,              ,14,1970,SF~100;IT ?,1.7428448297715923e-13
5372,43,960,243Cm,,57181.9     ,  1.5     ,           ,          , ,,, 29.1   , y,0.1    ,5/2+*         ,14,1950,A~100;EC=0.29 3;SF=5.3e-9 9,29.1
5373,43,961,243Cm,,57269.3     ,  1.5     ,  87.4     ,  0.1     , ,,,  1.08  ,us,0.03   ,1/2+          ,14,1971,IT=100,3.422313483915127e-14
5374,43,963,243Cm,,57285       , 15       , 103       , 15       ,D,,,        ,  ,       ,(7/2+)        ,14,1984,IT ?,unknown
5375,43,970,243Bk,,58690       ,  5       ,           ,          , ,,,  4.6   , h,0.2    ,3/2-          ,14,1950,B+~100;A~0.15,0.0005247547342003194
5376,43,973,243Bk,,58710       , 19       ,  20       , 20       ,D,,,>30#    ,us,       ,(7/2+)        ,  ,    ,IT~100; B+ ?,unknown
5377,43,980,243Cf,,60990#      ,180#      ,           ,          , ,,, 10.8   , m,0.3    ,(1/2+)        ,14,1967,B+~86 3;A~14 3,2.053388090349076e-05
5378,43,990,243Es,,64750#      ,210#      ,           ,          , ,,, 22.1   , s,1.4    ,(7/2+)        ,14,1973,A=61 6;B+ ?;SF<1,7.003067406900398e-07
5379,43,991,243Es,,64800#      ,220#      ,  50#      , 50#      , ,,,>50#    ,us,       ,3/2-#         ,  ,    ,IT ?;A ?;B+ ?,unknown
5380,43,000,243Fm,,69320#      ,130#      ,           ,          , ,,,231     ,ms,9      ,7/2-#         ,14,1981,A=91 3;SF=9 3;B+ ?,7.319948285040687e-09
5381,44,930,244Np,,63240#      ,100#      ,           ,          , ,,,  2.29  , m,0.16   ,7-#           ,17,1987,B-=100,4.3539432656475775e-06
5382,44,940,244Pu,,59806.0     ,  2.3     ,           ,          , ,,, 81.3   ,My,0.3    ,0+            ,17,1954,A=99.877 6;SF=0.123 6;2B-<7.3e-9,0.0813
5383,44,941,244Pu,,61022.0     ,  2.4     ,1216.0     ,  0.5     , ,,,  1.75  , s,0.12   ,8-            ,17,2016,IT=100,5.5454153674550656e-08
5384,44,950,244Am,,59879.1     ,  1.5     ,           ,          , ,,, 10.01  , h,0.03   ,(6-)          ,17,1950,B-=100,0.0011419119324663472
5385,44,951,244Am,,59968.4     ,  1.4     ,  89.3     ,  1.6     ,Q,,, 26.13  , m,0.43   ,1+            ,17,1950,B-=99.9636 13;EC=0.0364 13,4.9680584074834585e-05
5386,44,952,244Am,,61880#      ,200#      ,2000#      ,200#      , ,,,900     ,us,150    ,              ,17,1967,SF~100;IT ?,2.8519279032626055e-11
5387,44,953,244Am,,62080#      ,200#      ,2200#      ,200#      , ,,, ~6.5   ,us,       ,              ,17,1969,SF~100;IT ?,unknown
5388,44,960,244Cm,,58451.8     ,  1.1     ,           ,          , ,,, 18.11  , y,0.03   ,0+            ,17,1950,A=100;SF=1.37e-4 2,18.11
