,Beta-decay fraction,Average beta decay energy,Beta-decay energy (keV),Half life (years),Isotope
1904,1.0,119.4,1036.1061,0.11605749486652978,181Hf
1912,1.0,5.69,13550.0,1.9329733566557657e-09,133Cd
1914,1.0,5.69,8059.3109,9.728242958906887e-09,157Pr
1915,1.0,5.69,8595.0,2.4875148934012723e-09,108Zr
1921,1.0,5.69,8568.8459,1.1471087788678479e-07,30Al
1925,1.0,5.69,2681.6854,5.41866301619895e-06,69Cu
1926,1.0,5.69,4194.0,2.7568636398205184e-07,198Ir
1928,1.0,5.69,4063.0674,3.675818186427358e-07,165Gd
1929,1.0,5.69,10413.0962,1.774532917585621e-07,36P
1935,1.0,5.69,6414.3615,2.829746241792785e-08,147Ba
1938,1.0,5.69,8532.7512,3.105432605774837e-08,104Nb
1941,1.0,5.69,1636.0,3.156133546277283e-06,216Pb
1947,1.0,5.69,4628.4637,2.249854234796055e-07,101Nb
1949,1.0,5.69,7680.0,4.404644206150024e-09,152Ba
1952,1.0,79.5,702.7199,0.0010666210358202144,127Te
1958,1.0,5.69,9058.08,1.6319365224224907e-08,135Sn
1965,1.0,55.8,1582.203,0.01054072553045859,127Sb
1966,1.0,5.69,20551.0898,2.7727076837275327e-10,11Li
1967,1.0,5.69,5335.5046,1.2757624153928052e-07,147La
1968,1.0,25.2,2123.7545,0.0007015742642026009,228Ac
1969,1.0,5.69,6161.8335,1.0425380890815523e-06,85Se
1973,1.0,5.69,8010.226,2.3766065860521712e-08,16C
1974,1.0,272.4,1295.1669,0.0009399954369153548,173Tm
1976,1.0,5.69,16065.0,9.506426344208685e-10,132Ag
1977,1.0,5.69,6196.5938,3.2638730448449813e-08,115Rh
1978,1.0,124.6,2666.1038,0.0019106776180698151,97Zr
1983,1.0,5.69,5176.6042,5.989048596851471e-06,89Kr
1985,1.0,5.69,5518.5456,6.717874616574137e-08,111Ru
1986,1.0,38.98,518.5338,0.018485968514715945,237U
1991,1.0,5.69,6978.8242,9.024767409435444e-08,79Ga
1993,1.0,5.69,4162.3582,7.2591071564377515e-06,137Xe
1994,1.0,5.69,8339.0,1.9963495322838237e-08,162Pm
2000,1.0,5.69,3648.2396,1.452581945395087e-05,105Tc
2001,1.0,5.69,7738.5736,1.6382741399852965e-07,108Tc
2006,1.0,5.69,9226.9772,1.1968590767358733e-08,95Rb
2011,1.0,77.2,260.091,0.445201916495551,45Ca
2013,1.0,5.69,7355.4298,4.626460820848226e-09,146Xe
2021,1.0,5.69,4424.6664,1.5844043907014474e-07,118In
2022,1.0,5.69,7780.0712,5.862296245595356e-08,114Rh
2028,1.0,5.69,11561.224,6.052424772479529e-09,58V
2030,1.0,5.69,10980.0,1.7111567419575631e-09,111Nb
2031,1.0,5.69,2470.1402,1.0951403148528404e-05,51Ti
2033,1.0,5.69,2756.0638,3.815245772809085e-07,110Ru
2036,1.0,5.69,7705.1329,3.013537151114153e-08,84Ge
2037,1.0,5.69,3200.0,1.6794686541435342e-06,171Ho
2039,1.0,5.69,5730.5011,7.25657210941263e-08,101Zr
2041,1.0,5.69,3008.4937,4.372956118335995e-06,187Ta
2043,1.0,3.55,268.6983,0.00133,135Cs
2047,1.0,5.69,4415.0129,2.5667351129363448e-06,211Tl
2050,1.0,5.69,7585.2453,2.9469921667046923e-08,134Sn
2055,1.0,21.94,1564.8804,0.1218343600273785,59Fe
2056,1.0,5.69,9101.727,6.8446269678302524e-09,56V
2059,1.0,5.69,8879.2856,2.6617993763784317e-08,73Ni
2060,1.0,5.69,2281.3849,1.713058027226405e-05,79As
2062,1.0,5.69,3694.1465,3.770882449869445e-07,229Rn
2070,1.0,5.69,6368.5921,4.753213172104342e-08,122In
2075,1.0,5.69,3835.5363,3.602935584455091e-07,159Sm
2078,1.0,121.5,402.5306,0.003083504449007529,121Sn
2082,1.0,5.69,8663.7335,3.8564402869673234e-08,81Ga
2085,1.0,5.69,12528.0,1.901285268841737e-09,128Ag
2086,1.0,5.69,7755.7081,1.80622100539965e-08,129In
2089,1.0,5.69,13440.0,9.506426344208685e-10,80Ni
2092,1.0,5.69,6918.0432,3.168808781402895e-07,51Ca
2095,1.0,5.69,19084.2343,3.225847339468147e-10,15B
2104,1.0,5.69,2504.9813,4.69617461403909e-06,227Fr
2105,1.0,5.69,11320.9428,1.4227951428498998e-09,34Mg
2107,1.0,1.5,687.0,10.728,85Kr
2113,1.0,5.69,1660.854,0.005019393109742185,202Pt
2115,1.0,5.69,8483.8977,4.0782569016655255e-08,93Kr
2116,1.0,5.69,8370.0,5.291910664942834e-09,151Ba
2117,1.0,5.69,10663.8784,3.786726493776459e-09,8He
2120,1.0,57.7,492.1062,0.12761122518822723,203Hg
2130,1.0,5.69,4280.0,3.802570537683474e-06,182Lu
2132,1.0,5.69,7992.3346,1.983674297158212e-07,138I
2133,1.0,5.69,4822.8898,6.33761756280579e-08,64Fe
2135,1.0,5.69,12415.0,2.978680254518721e-09,146I
2139,1.0,5.69,2558.9318,5.7228686592136274e-06,145Ce
2140,1.0,5.69,10354.092,2.915304078890663e-09,62Mn
2145,1.0,5.69,6578.0,3.168808781402895e-08,177Ho
2146,1.0,5.69,6637.5463,3.644130098613329e-07,39S
2147,1.0,5.69,10003.0,1.0140188100489263e-09,116Mo
2149,1.0,128.4,2137.8808,0.0002871891398585444,65Ni
2151,1.0,5.69,4823.5559,8.872664587928105e-08,113Rh
2154,1.0,5.69,3813.6349,4.2810606636753105e-07,20O
2155,1.0,5.69,6401.7829,4.753213172104342e-08,100Nb
2172,1.0,5.69,13551.6204,1.625598904859685e-09,100Rb
2173,1.0,5.69,10363.0,2.8424214769183967e-09,145I
2175,1.0,5.69,11980.5117,2.8139021978857705e-09,64Mn
2177,1.0,5.69,12380.0,1.235835424747129e-09,105Sr
2181,1.0,5.69,10505.3137,3.01036834233275e-09,59V
2183,1.0,5.69,6215.9238,1.9329733566557656e-07,63Fe
2190,1.0,70.0,378.0,230000.0,126Sn
2194,1.0,5.69,6585.4546,3.32724922047304e-08,161Pm
2199,1.0,5.69,5306.8315,4.531396557406139e-08,164Sm
2203,1.0,5.69,7465.9434,1.8505843283392905e-07,93Rb
2204,1.0,5.69,6093.3367,2.915304078890663e-08,104Zr
2207,1.0,5.69,5610.0,4.531396557406139e-08,173Dy
2208,1.0,5.69,4631.0,9.60149060765077e-08,168Gd
2209,1.0,139.0,1268.4219,0.0001123089208304814,128Sn
2211,1.0,5.69,9929.555,1.3150556442822013e-08,48Ar
2214,1.0,5.69,2990.1656,2.2181661469820262e-07,199Ir
2222,1.0,1.91,2275.635,0.007306639288158795,90Y
2223,1.0,5.69,9911.0,7.890333865693207e-09,137Sn
2225,1.0,5.69,5199.0,6.33761756280579e-07,184Lu
2227,1.0,5.69,5489.0622,1.7111567419575632e-08,114Ru
2228,1.0,5.69,9240.2095,8.28643496336857e-09,131In
2230,1.0,5.69,5163.8307,1.964661444469795e-08,148Ba
2232,1.0,129.5,1323.8504,0.00018811316449920146,61Co
2233,1.0,5.69,10162.0,2.5350470251223157e-09,113Mo
2236,1.0,5.69,11252.0,1.5812355819200444e-09,129Ag
2239,1.0,5.69,3634.7623,4.7532131721043423e-07,99Nb
2240,1.0,5.69,18729.5899,1.536872258980404e-09,42P
2241,1.0,5.69,7635.0,9.918371485791061e-09,155Ce
2246,1.0,5.69,7052.5063,7.890333865693208e-08,137Te
2248,1.0,5.69,3020.0,2.2181661469820262e-07,200Os
2251,1.0,5.69,5379.4422,1.9614926356883918e-07,150Pr
2254,1.0,5.69,3417.0,3.01036834233275e-06,177Tm
2257,1.0,5.69,8791.0,7.434025401171191e-09,76Ni
2261,1.0,5.69,4369.4525,1.56539153801303e-07,149Ce
2263,1.0,5.69,3106.2907,1.5907420082642533e-06,229Fr
2264,1.0,5.69,2411.2959,1.4259639516313025e-06,164Gd
2267,1.0,24.4,890.9756,0.005624001825233858,172Er
2268,1.0,5.69,2016.4615,0.0006125941136208077,113Ag
2277,1.0,5.69,10527.1716,8.555783709787816e-09,91Se
2281,1.0,5.69,3870.0,5.2475473420031935e-06,170Ho
2283,1.0,5.69,8495.7679,3.1497959287144777e-08,144Cs
2284,1.0,5.69,1533.2393,1.7301695946459806e-05,222Po
2288,1.0,5.69,18386.5096,2.8519279032626053e-09,36Al
2290,1.0,5.69,8272.6693,2.5350470251223157e-09,96Kr
2295,1.0,5.69,5319.1425,1.3657565847846474e-07,145Ba
2301,1.0,5.69,11024.2629,7.646335589525186e-09,79Cu
2302,1.0,69.3,1112.9469,0.0015503080082135523,109Pd
2308,1.0,5.69,13690.0,9.506426344208685e-10,124Rh
2313,1.0,5.69,3976.4763,7.116510761274621e-06,52V
2315,1.0,5.69,8954.1372,2.5984232007503735e-07,52Sc
2316,1.0,50.2,318.6462,0.7799753593429158,144Ce
2317,1.0,163.0,3441.9774,0.00010685223210890562,39Cl
2319,1.0,20.9,3525.2626,0.0014094227697923796,42K
2322,1.0,5.69,13926.0,1.631936522422491e-09,72Co
2324,1.0,5.69,20314.0,5.862296245595356e-10,44P
2327,1.0,5.69,2427.4736,9.126169290440336e-06,237Th
2329,1.0,5.69,19169.0,2.4082946738662e-10,39Al
2331,1.0,5.69,17169.8816,2.6934874641924605e-09,21N
2337,1.0,5.69,9531.0,3.558572261515451e-09,149Cs
2346,1.0,5.69,782.347,1.932339594899485e-05,1n
2349,1.0,5.69,10061.5295,5.358455649352295e-09,97Rb
2350,1.0,92.0,3228.716,0.00023956194387405886,127Sn
2351,1.0,5.69,5761.8901,1.356250158440439e-07,153Pr
2352,1.0,5.69,9590.0,3.580753922985271e-09,153Ba
2353,1.0,5.69,8070.0,2.4082946738662e-08,172Tb
2354,1.0,321.4,909.9134,0.00010723248916267396,69Zn
2355,1.0,5.69,12484.3497,1.9012852688417368e-08,82Ga
2357,1.0,5.69,8109.639,1.08373260323979e-07,21O
2366,1.0,5.69,11336.1072,3.073744517960808e-09,23O
2367,1.0,5.69,4105.9329,7.763581514437092e-07,73Zn
2370,1.0,51.5,1071.4936,0.006055213324207164,149Pm
2374,1.0,21.5,274.0882,0.06600136892539356,234Th
2378,1.0,16.5,1461.8214,0.003768993839835729,143Ce
2389,1.0,5.69,6399.0606,1.2294978071843232e-08,144Xe
2394,1.0,5.69,17970.3261,4.309579942707937e-09,20N
2395,1.0,5.69,20010.0,3.1688087814028947e-10,54K
2398,1.0,5.69,4013.6198,4.449007529089664e-06,133Sb
2401,1.0,5.69,4493.0596,5.323598752756864e-07,108Rh
2402,1.0,178.1,895.8929,0.00023385808806753364,245Am
2411,1.0,5.69,11821.2318,6.33761756280579e-09,68Co
2412,1.0,5.69,14028.8125,3.2004968692169236e-09,41P
2419,1.0,5.69,6630.0,7.383324460668745e-09,156Ce
2421,1.0,5.69,13317.4543,2.021700002535047e-09,66Mn
2422,1.0,5.69,9413.0,5.767231982153269e-09,143I
2424,1.0,5.69,1104.805,2.16746520647958e-05,152Nd
2425,1.0,190.8,1364.7614,0.001731690622861054,157Eu
2426,1.0,5.69,19469.0523,4.0877633280097345e-10,32Na
2429,1.0,5.69,4719.9687,2.788551727634548e-07,40S
2432,1.0,5.69,5906.901,1.8442467107764847e-06,91Rb
2433,1.0,5.69,12053.2361,3.644130098613329e-09,98Rb
2439,1.0,5.69,2602.2183,6.648794585139554e-06,55Cr
2442,1.0,5.69,6240.0,3.89763480112556e-08,171Tb
2443,1.0,5.69,7361.0,1.869597181027708e-07,216Tl
2445,1.0,14.9,349.0,0.19101984941820668,188W
2449,1.0,5.69,3964.7175,1.6034172433898645e-07,156Nd
2458,1.0,5.69,6241.6189,2.851927903262605e-07,81Ge
2460,1.0,5.69,11513.0,5.0352371536492e-09,77Ni
2474,1.0,5.69,2695.7375,2.7061626993180722e-06,57Mn
2475,1.0,23.0,1168.5917,0.0010426648414328086,135Xe
2483,1.0,30.0,381.0486,0.0089,182Hf
2486,1.0,5.69,4565.5836,1.0209901893680127e-05,43Ar
2487,1.0,5.69,9171.3131,2.5857479656247622e-08,128In
2492,1.0,109.7,1126.3312,0.1753100616016427,95Zr
2498,1.0,3.43,427.36,0.014366598220396988,133Xe
2501,1.0,257.6,1588.0317,3.5078713210130045e-05,81Se
2503,1.0,5.69,3661.3385,8.524095621973786e-07,63Co
2505,1.0,5.69,15748.0,3.9610109767536186e-10,42Si
2506,1.0,5.69,11660.0,4.106776180698151e-09,120Rh
2507,1.0,5.69,8457.2728,2.1231018835399396e-08,105Zr
2508,1.0,5.69,3436.3252,2.946992166704692e-06,113Pd
2511,1.0,128.0,2894.8723,0.001161305042208533,93Y
2512,1.0,5.69,8200.0834,6.654498440946079e-09,90Se
2513,1.0,5.69,9138.8323,3.4223134839151262e-09,123Pd
2516,1.0,5.69,15863.5156,3.5807539229852715e-10,35Mg
2520,1.0,420.0,4916.7109,7.078485055897786e-05,38Cl
2526,1.0,5.69,2781.4807,1.5267320708799146e-05,157Sm
2533,1.0,5.69,5544.8861,4.8165893477324e-07,80As
2539,1.0,5.69,6588.3675,1.410119907724288e-06,70Cu
2543,1.0,5.69,2110.0,3.961010976753619e-06,198Os
2544,1.0,48.4,1881.9024,0.007255304585900069,172Tm
2548,1.0,5.69,4546.9906,5.513727279641037e-06,207Hg
2551,1.0,5.69,6817.8455,1.7643927294851318e-06,87Br
2554,1.0,5.69,9590.9082,2.1547899713539682e-07,42Cl
2557,1.0,5.69,9520.0,2.7885517276345475e-09,147Xe
2561,1.0,72.4,442.7892,0.0053045859000684465,72Zn
2565,1.0,26.0,1492.449,0.0008574036048368697,171Er
2569,1.0,57.1,1598.1889,0.0005544147843942505,73Ga
2570,1.0,5.69,27356.4961,9.252921641696452e-11,19B
2571,1.0,5.69,10094.1624,1.0013435749233148e-07,84As
2574,1.0,5.69,3435.9426,2.9336831698228e-06,53V
2581,1.0,18.6,2361.4366,0.026376454483230664,125Sn
2583,1.0,5.69,1770.3754,1.6097548609526704e-06,120Cd
2587,1.0,5.69,9281.873,1.3625877760032447e-08,89Se
2588,1.0,5.69,9056.2674,4.8165893477324e-09,113Tc
2590,1.0,5.69,7064.2177,2.1547899713539684e-08,125Cd
2591,1.0,5.69,2528.0,1.7396760209901892e-06,170Dy
2593,1.0,5.69,14720.0,5.386974928384921e-10,114Nb
2594,1.0,5.69,20640.0,2.8519279032626055e-10,38Al
2602,1.0,5.69,8125.2037,8.530433239536593e-09,99Sr
2604,1.0,5.69,13816.8529,1.1566152052120566e-08,51K
2608,1.0,5.69,8504.0,5.545415367455066e-09,157Ce
2610,1.0,67.21,452.3142,0.008594113620807666,199Au
2612,1.0,5.69,7527.1313,1.3340684969706187e-08,117Rh
2620,1.0,122.3,4496.6278,2.912769031865541e-05,89Rb
2621,1.0,24.9,766.7,2.7576,125Sb
2625,1.0,57.0,722.7849,0.00645037645448323,239Np
2631,1.0,5.69,14906.9991,1.1724592491190711e-09,102Rb
2632,1.0,5.69,8270.643,1.3308996881892159e-08,141I
2636,1.0,52.0,640.9158,0.001437371663244353,200Pt
2637,1.0,5.69,10525.0,5.386974928384921e-09,160Pr
2638,1.0,5.69,7037.1118,1.5780667731386415e-06,54V
2640,1.0,164.0,5067.2728,7.510076811924861e-05,130Sb
