,Beta-decay energy (keV),Half life (years),Isotope,Beta-decay fraction,Average beta decay energy,Half life (seconds),Power density (W/g),Evaluation,Half life (log(years))
2012,*,1.5844043907014474e-09,86Ru,0.0,unknown,0.049999999999999996,unknown,0.0,-20.263057278976948
2013,3575.4729,0.00026180698151950717,132I,1.0,242,8262.0,7419.844280872904,1.6377385784159789e-25,-8.247903037466246
2014,*,2.535047025122316e-11,173Hg,0.0,unknown,0.0008,unknown,0.0,-24.398223835719303
2015,-5240.0,unknown,86Sr,0.0,unknown,unknown,unknown,0.0,0.0
2016,-5605.2112,1.235835424747129e-05,133Pr,0.0,unknown,390.0,unknown,0.0,-11.301178266299264
2017,4820.3029,8.387836844373462e-07,19O,1.0,152.4,26.469999999999995,10001389.682991302,2.4505306719073905e-42,-13.991312989183946
2018,-3544.0634,0.00033880903490759757,117Sb,0.0,258,10692.000000000002,6896.3227951209865,0.0,-7.990073928164146
2019,5901.7231,3.2321849570309526e-07,75Zn,1.0,unknown,10.2,unknown,0.0,-14.944937285132731
2020,-10246.0,6.97137931908637e-08,137Gd,0.0,unknown,2.2,unknown,0.0,-16.478867645058685
2021,3567.4325,1.837909093213679e-06,183Lu,1.0,unknown,57.99999999999999,unknown,0.0,-13.206881994876536
2022,-670.2201,unknown,173Yb,0.0,unknown,unknown,unknown,0.0,0.0
2023,-3624.0,8.333967095089613e-08,259Rf,0.0,unknown,2.6299999999999994,unknown,0.0,-16.300341159233284
2024,20689.0,6.33761756280579e-11,57K,0.0,unknown,0.002,unknown,0.0,-23.481933103845147
2025,-8656.119,2.6237736710015967e-06,186Hg,0.0,unknown,82.79999999999998,unknown,0.0,-12.850896944031742
2026,-8177.0,4.277891854893908e-07,133Pm,0.0,unknown,13.5,unknown,0.0,-14.664635319978572
2027,3762.1676,0.004596052931781885,140La,1.0,81.4,145040.40000000002,134.04885447647834,2.6689674718206715e-17,-5.382557402138125
2028,-3103.0,0.0002851927903262606,239Cm,0.0,unknown,9000.0,unknown,0.0,-8.162345149104599
2029,123.6,0.8958247775496235,249Bk,1.0,32.4,28270080.0,0.15391302890525696,0.00045034742133155073,-0.1100104459022169
2030,2353.0,5.703855806525211e-06,249Am,0.0,unknown,180.0,unknown,0.0,-12.074368154532745
2031,-7673.0,0.0001378241691383375,142Sm,0.0,483,4349.4,26148.78987230997,0.0,-8.889531821888069
2032,11964.05,8.397343270717672e-09,43S,1.0,unknown,0.265,unknown,0.0,-18.59535045841887
2033,*,2.8519279032626055e-10,290Lv,0.0,unknown,0.009,unknown,0.0,-21.977855707068873
2034,-462.7305,2.69e+19,116Cd,0.0,unknown,8.4889944e+26,unknown,0.0,44.73865796050062
2035,9932.203,2.3449184982381423e-09,121Rh,1.0,unknown,0.074,unknown,0.0,-19.87101519120092
2036,-16363.0,6.990392171774786e-09,25Si,0.0,unknown,0.2206,unknown,0.0,-18.778729177585692
2037,-8774.9466,0.004061145334245951,57Ni,0.0,139,128160.00000000001,636.2723279618467,0.0,-5.50629024312077
2038,*,1.5844043907014474e-08,128Sm,0.0,unknown,0.49999999999999994,unknown,0.0,-17.9604721859829
2039,-7696.4376,0.00019012852688417368,126Ba,0.0,unknown,5999.999999999999,unknown,0.0,-8.567810257212765
2040,18.59202,12.32,3H,1.0,5.69,388789632.0,0.163129728205091,0.10748648627040529,2.511223958105374
2041,3434.9108,2.6998250817552662e-05,143La,1.0,140,851.9999999999999,38408.957442999104,1.0842203152082483e-32,-10.51973847859364
2042,*,1.2992116003751866e-10,202Ra,0.0,unknown,0.004099999999999999,unknown,0.0,-22.764093310694832
2043,13926.0,1.631936522422491e-09,72Co,1.0,unknown,0.0515,unknown,0.0,-20.233498476735402
2044,12528.0,1.901285268841737e-09,128Ag,1.0,unknown,0.06,unknown,0.0,-20.080735722182993
2045,-3061.0,0.9130732375085557,248Cf,0.0,10.7,28814400.0,0.05007019402958315,0.0,-0.09093918527513051
2046,-1481.1659,4.677161761350673e-06,180Re,0.0,438,147.6,549987.3011900982,0.0,-12.272819093256583
2047,2097.4851,5.3996501635105324e-05,178Lu,1.0,189.5,1703.9999999999998,20887.576743102538,1.5094302361452335e-30,-9.826591298033694
2048,-3201.0,1.9012852688417367e-07,257Lr,0.0,unknown,5.999999999999999,unknown,0.0,-15.475565536194901
2049,11252.0,1.5812355819200444e-09,129Ag,1.0,unknown,0.04989999999999999,unknown,0.0,-20.26505928164762
2050,4280.0,3.802570537683474e-06,182Lu,1.0,unknown,120.0,unknown,0.0,-12.47983326264091
2051,14805.4501,2.28787994017289e-10,30Ne,1.0,unknown,0.007219999999999999,unknown,0.0,-22.198225331500357
2052,-802.1402,24110.0,239Pu,0.0,5008.13,760853736000.0,0.0009209811437571329,0.0,10.090381971175217
2053,2242.8547,9.728242958906886e-07,98Zr,1.0,unknown,30.699999999999992,unknown,0.0,-13.843062350829804
2054,4236.479,2.3322432631125302e-06,117Ag,1.0,unknown,73.59999999999998,unknown,0.0,-12.968679979688126
2055,291.0753,0.04876112251882272,253Cf,0.9969,5921,1538783.9999999998,508.5732865601463,1.1915237498659854e-08,-3.020821953329239
2056,14289.0,2.3195680279869193e-09,81Cu,1.0,unknown,0.0732,unknown,0.0,-19.881884863437826
2057,8440.0,6.0207366846655e-09,167Sm,0.0,unknown,0.19,unknown,0.0,-18.928056212244606
2058,-481.7508,unknown,201Hg,0.0,unknown,unknown,unknown,0.0,0.0
2059,13490.0,1.901285268841737e-09,89Ge,0.0,unknown,0.06,unknown,0.0,-20.080735722182993
2060,-10121.0,1.774532917585621e-07,143Dy,0.0,unknown,5.599999999999999,unknown,0.0,-15.544558407681853
2061,-3036.0,3.358937308287068e-07,266Bh,0.0,unknown,10.599999999999998,unknown,0.0,-14.906471004304935
2062,11731.0,9.03110502699825e-10,59Ti,1.0,unknown,0.028499999999999998,unknown,0.0,-20.82517619713049
2063,22940.0,3.168808781402895e-11,59K,0.0,unknown,0.001,unknown,0.0,-24.175080284405094
2064,5312.6243,3.3804852080006085e-05,88Rb,1.0,143.9,1066.8,51240.197688890556,8.738625265238662e-32,-10.294906213115096
2065,-7051.8922,2.52870940755951e-06,191Pb,0.0,unknown,79.8,unknown,0.0,-12.887801500967193
2066,-4417.2524,0.00013232945471138488,195Tl,0.0,367,4175.999999999999,15069.251630783721,0.0,-8.930215875860481
2067,-6663.6646,2.3449184982381423e-07,108Sb,0.0,unknown,7.3999999999999995,unknown,0.0,-15.265845005212832
2068,*,3.168808781402895e-11,164Ir,0.0,unknown,0.001,unknown,0.0,-24.175080284405094
2069,*,7.161507845970543e-10,64Se,0.0,unknown,0.022600000000000002,unknown,0.0,-21.057130378126853
2070,*,unknown,35Sc,0.0,unknown,unknown,unknown,0.0,0.0
2071,-3923.5573,9.221233553882424e-08,256No,0.0,unknown,2.9099999999999997,unknown,0.0,-16.199171924239554
2072,20010.0,3.1688087814028947e-10,54K,1.0,unknown,0.009999999999999998,unknown,0.0,-21.872495191411048
2073,18386.5096,2.8519279032626053e-09,36Al,1.0,unknown,0.09,unknown,0.0,-19.67527061407483
