,N,Z,A,Elt.,Orig.,Mass excess (keV),Mass excess (uncertainty),Binding energy per nucleon (keV),Binding energy per nucleon (uncertainty),Beta-decay Type,Beta-decay energy (keV),Beta-decay energy (uncertainty),Atomic mass (μu),Atomic mass (uncertainty)
95,11,8.0,19.0,O,-n,3332.858,2.637,7566.4952,0.1388,B-,4820.3029,2.6370,19.003577969,2.830
96,10,9.0,19.0,F,NA,-1487.44512,0.00082,7779.0192,0.0002,B-,-3239.4986,0.1601,18.99840316207,0.00088
97,9,10.0,19.0,Ne,+3n,1752.054,0.160,7567.3431,0.0084,B-,-11177.331,10.5364,19.001880906,0.171
98,8,11.0,19.0,Na,NA,12929.384,10.535,6937.8864,0.5545,B-,-18909.0095,60.9189,19.013880264,11.309
99,7,12.0,19.0,Mg,-pp,31838.394,60.001,5901.4992,3.1579,B-,*,NA,19.03417992,64.413
100,15,5.0,20.0,B,-n,69401.569,546.357,4405.6529,27.3178,B-,31898.0019,593.0377,20.074505644,586.538
101,14,6.0,20.0,C,x,37503.567,230.625,5961.4356,11.5312,B-,15737.0689,243.7459,20.040261732,247.585
102,13,7.0,20.0,N,x,21766.498,78.894,6709.1717,3.9447,B-,17970.3261,78.8991,20.023367295,84.696
103,12,8.0,20.0,O,-nn,3796.172,0.885,7568.5707,0.0442,B-,3813.6349,0.8854,20.004075357,0.950
104,11,9.0,20.0,F,-n,-17.463,0.030,7720.1351,0.0015,B-,7024.4689,0.0297,19.999981252,0.031
105,10,10.0,20.0,Ne,NA,-7041.93217,0.00154,8032.2412,0.0002,B-,-13892.4207,1.1090,19.99244017525,0.00165
106,9,11.0,20.0,Na,NA,6850.489,1.109,7298.5028,0.0554,B-,-10627.2054,2.1681,20.007354301,1.190
107,8,12.0,20.0,Mg,+t,17477.694,1.863,6728.0252,0.0931,B-,*,NA,20.018763075,2.000
108,16,5.0,21.0,B,-nn,78382.887,558.664,4152.5265,26.6031,B-,32740.0,817#,21.084147485,599.750
109,15,6.0,21.0,C,x,45643#,596#,5674#,28#,B-,20411.0,611#,21.049,640#
110,14,7.0,21.0,N,x,25231.915,134.048,6609.0159,6.3832,B-,17169.8816,134.5840,21.027087573,143.906
111,13,8.0,21.0,O,-3n,8062.034,12.000,7389.3747,0.5714,B-,8109.639,12.1342,21.008654948,12.882
112,12,9.0,21.0,F,-nn,-47.605,1.800,7738.2934,0.0857,B-,5684.1712,1.8004,20.999948893,1.932
113,11,10.0,21.0,Ne,NA,-5731.776,0.038,7971.7136,0.0018,B-,-3546.919,0.0177,20.993846685,0.041
114,10,11.0,21.0,Na,NA,-2184.857,0.042,7765.5581,0.0020,B-,-13088.708,0.7557,20.997654459,0.045
115,9,12.0,21.0,Mg,x,10903.851,0.755,7105.0317,0.0359,B-,-16186.0,600#,21.011705764,0.810
116,8,13.0,21.0,Al,x,27090#,600#,6297#,29#,B-,*,NA,21.029082,644#
117,16,6.0,22.0,C,-nn,53611.203,231.490,5421.0778,10.5223,B-,21846.3983,311.0627,22.05755399,248.515
118,15,7.0,22.0,N,x,31764.805,207.779,6378.5347,9.4445,B-,22481.7725,215.4350,22.034100918,223.060
119,14,8.0,22.0,O,-4n,9283.032,56.921,7364.8722,2.5873,B-,6489.6562,58.2558,22.009965744,61.107
