,N,Z,A,Elt.,Orig.,Mass excess (keV),Mass excess (uncertainty),Binding energy per nucleon (keV),Binding energy per nucleon (uncertainty),Beta-decay Type,Beta-decay energy (keV),Beta-decay energy (uncertainty),Atomic mass (μu),Atomic mass (uncertainty)
2833,121,86.0,207.0,Rn,NA,-8634.742,4.742,7787.9987,0.0229,B-,-5785.7211,18.1857,206.990730224,5.090
2834,120,87.0,207.0,Fr,NA,-2849.021,17.557,7756.2689,0.0848,B-,-6363.0084,60.8726,206.99694145,18.847
2835,119,88.0,207.0,Ra,-a,3513.988,58.286,7721.7503,0.2816,B-,-7632.2404,81.0004,207.00377242,62.572
2836,118,89.0,207.0,Ac,-a,11146.228,56.248,7681.1001,0.2717,B-,*,NA,207.011965967,60.384
2837,130,78.0,208.0,Pt,x,-500#,400#,7780#,2#,B-,5410.0,500#,207.999463,429#
2838,129,79.0,208.0,Au,x,-5910#,300#,7803#,1#,B-,7355.0,302#,207.993655,322#
2839,128,80.0,208.0,Hg,x,-13265.408,30.739,7834.1914,0.1478,B-,3484.7131,30.7951,207.985759,33.000
2840,127,81.0,208.0,Tl,+a,-16750.121,1.854,7847.1835,0.0089,B-,4998.3984,1.6693,207.982018006,1.989
2841,126,82.0,208.0,Pb,NA,-21748.519,1.148,7867.4530,0.0055,B-,-2878.368,2.0127,207.976652005,1.232
2842,125,83.0,208.0,Bi,+n,-18870.151,2.305,7849.8534,0.0111,B-,-1400.9438,2.3787,207.97974206,2.474
2843,124,84.0,208.0,Po,NA,-17469.207,1.672,7839.3568,0.0080,B-,-4999.3061,9.0736,207.981246035,1.795
2844,123,85.0,208.0,At,+a,-12469.901,8.921,7811.5604,0.0429,B-,-2814.5118,13.5215,207.986613011,9.577
2845,122,86.0,208.0,Rn,NA,-9655.389,10.163,7794.2678,0.0489,B-,-6990.4614,15.4656,207.989634513,10.910
2846,121,87.0,208.0,Fr,NA,-2664.928,11.657,7756.8985,0.0560,B-,-4392.8615,14.7413,207.997139082,12.514
2847,120,88.0,208.0,Ra,-a,1727.934,9.023,7732.0177,0.0434,B-,-9032.9208,65.1111,208.001855012,9.686
2848,119,89.0,208.0,Ac,-a,10760.854,64.483,7684.8289,0.3100,B-,-5927.1868,71.9264,208.011552251,69.225
2849,118,90.0,208.0,Th,-a,16688.041,31.865,7652.5716,0.1532,B-,*,NA,208.017915348,34.208
2850,130,79.0,209.0,Au,x,-2230#,400#,7786#,2#,B-,6380.0,427#,208.997606,429#
2851,129,80.0,209.0,Hg,x,-8610#,150#,7813#,1#,B-,5035.0,150#,208.990757,161#
2852,128,81.0,209.0,Tl,+a,-13644.793,6.110,7833.3979,0.0292,B-,3969.7809,6.2115,208.985351713,6.559
2853,127,82.0,209.0,Pb,NA,-17614.574,1.747,7848.6488,0.0084,B-,644.0152,1.1462,208.981089978,1.875
2854,126,83.0,209.0,Bi,NA,-18258.589,1.365,7847.9869,0.0065,B-,-1892.5741,1.5635,208.980398599,1.465
2855,125,84.0,209.0,Po,-a,-16366.015,1.778,7835.1882,0.0085,B-,-3482.2417,4.9599,208.982430361,1.909
2856,124,85.0,209.0,At,NA,-12883.773,4.745,7814.7835,0.0227,B-,-3942.7237,11.0298,208.986168701,5.094
2857,123,86.0,209.0,Rn,NA,-8941.049,9.960,7792.1755,0.0477,B-,-5158.9051,15.2153,208.990401389,10.692
2858,122,87.0,209.0,Fr,NA,-3782.144,11.503,7763.7485,0.0550,B-,-5640.3845,12.8549,208.995939701,12.349
2859,121,88.0,209.0,Ra,-a,1858.240,5.747,7733.0177,0.0275,B-,-6986.6464,56.1409,209.001994902,6.169
2860,120,89.0,209.0,Ac,-a,8844.887,55.846,7695.8455,0.2672,B-,-7550.0,117#,209.009495375,59.953
2861,119,90.0,209.0,Th,IT,16395#,103#,7656#,0#,B-,*,NA,209.017601,111#
2862,131,79.0,210.0,Au,x,2680#,400#,7764#,2#,B-,7980.0,447#,210.002877,429#
2863,130,80.0,210.0,Hg,x,-5300#,200#,7799#,1#,B-,3947.0,201#,209.99431,215#
2864,129,81.0,210.0,Tl,+a,-9246.996,11.603,7813.5890,0.0553,B-,5481.4334,11.5610,209.990072942,12.456
2865,128,82.0,210.0,Pb,NA,-14728.429,1.448,7835.9656,0.0069,B-,63.4758,0.4992,209.984188381,1.554
2866,127,83.0,210.0,Bi,NA,-14791.905,1.364,7832.5424,0.0065,B-,1161.1549,0.7662,209.984120237,1.463
2867,126,84.0,210.0,Po,NA,-15953.06,1.146,7834.3462,0.0055,B-,-3980.9605,7.6101,209.982873686,1.230
2868,125,85.0,210.0,At,-a,-11972.099,7.695,7811.6638,0.0366,B-,-2367.3352,8.9225,209.987147423,8.261
2869,124,86.0,210.0,Rn,-a,-9604.764,4.557,7796.6653,0.0217,B-,-6261.2558,14.1720,209.989688862,4.892
2870,123,87.0,210.0,Fr,NA,-3343.508,13.420,7763.1243,0.0639,B-,-3786.3467,16.2633,209.996410596,14.407
2871,122,88.0,210.0,Ra,-a,442.839,9.193,7741.3687,0.0438,B-,-8321.2403,62.8832,210.000475406,9.868
2872,121,89.0,210.0,Ac,NA,8764.079,62.208,7698.0182,0.2962,B-,-5295.442,65.0180,210.009408625,66.782
2873,120,90.0,210.0,Th,-a,14059.521,18.909,7669.0764,0.0900,B-,*,NA,210.015093515,20.299
2874,131,80.0,211.0,Hg,x,-390#,200#,7777#,1#,B-,5688.0,205#,210.999581,215#
2875,130,81.0,211.0,Tl,x,-6077.999,41.917,7799.7915,0.1987,B-,4415.0129,41.9781,210.993475,45.000
2876,129,82.0,211.0,Pb,NA,-10493.012,2.260,7817.0079,0.0107,B-,1366.1041,5.4713,210.988735288,2.426
2877,128,83.0,211.0,Bi,NA,-11859.116,5.442,7819.7745,0.0258,B-,573.3763,5.4297,210.987268715,5.842
2878,127,84.0,211.0,Po,-a,-12432.492,1.255,7818.7842,0.0060,B-,-785.3012,2.5385,210.986653171,1.347
2879,126,85.0,211.0,At,-a,-11647.191,2.729,7811.3545,0.0129,B-,-2891.8615,6.8937,210.987496226,2.929
2880,125,86.0,211.0,Rn,-a,-8755.330,6.813,7793.9412,0.0323,B-,-4615.0152,13.7862,210.990600767,7.314
2881,124,87.0,211.0,Fr,NA,-4140.314,11.991,7768.3613,0.0568,B-,-4972.1844,12.9786,210.995555189,12.872
2882,123,88.0,211.0,Ra,NA,831.87,4.966,7741.0887,0.0235,B-,-6311.6152,53.9818,211.000893049,5.331
2883,122,89.0,211.0,Ac,NA,7143.485,53.753,7707.4680,0.2548,B-,-6732.9111,101.4758,211.007668846,57.706
2884,121,90.0,211.0,Th,-a,13876.396,86.070,7671.8506,0.4079,B-,-8175.8296,110.6091,211.014896923,92.399
2885,120,91.0,211.0,Pa,-a,22052.226,69.472,7629.3948,0.3293,B-,*,NA,211.023674036,74.581
2886,132,80.0,212.0,Hg,x,3020#,300#,7762#,1#,B-,4571.0,361#,212.003242,322#
2887,131,81.0,212.0,Tl,+a,-1551#,200#,7780#,1#,B-,5998.0,200#,211.998335,215#
2888,130,82.0,212.0,Pb,NA,-7548.929,1.840,7804.3203,0.0087,B-,569.0133,1.8246,211.991895891,1.975
2889,129,83.0,212.0,Bi,NA,-8117.943,1.853,7803.3140,0.0087,B-,2251.4656,1.6671,211.99128503,1.989
2890,128,84.0,212.0,Po,NA,-10369.408,1.153,7810.2438,0.0054,B-,-1741.2596,2.1066,211.988867982,1.237
2891,127,85.0,212.0,At,-a,-8628.149,2.385,7798.3400,0.0113,B-,31.0705,3.5927,211.990737301,2.559
2892,126,86.0,212.0,Rn,-a,-8659.219,3.110,7794.7963,0.0147,B-,-5143.221,9.3064,211.990703946,3.338
2893,125,87.0,212.0,Fr,NA,-3515.998,8.775,7766.8455,0.0414,B-,-3317.2355,13.4939,211.99622542,9.419
2894,124,88.0,212.0,Ra,NA,-198.763,10.254,7747.5078,0.0484,B-,-7498.3626,24.1666,211.999786619,11.007
2895,123,89.0,212.0,Ac,NA,7299.6,21.883,7708.4479,0.1032,B-,-4811.2864,24.1055,212.007836442,23.492
2896,122,90.0,212.0,Th,-a,12110.886,10.109,7682.0628,0.0477,B-,-9485.6366,88.1858,212.01300157,10.852
2897,121,91.0,212.0,Pa,-a,21596.523,87.604,7633.6289,0.4132,B-,*,NA,212.023184819,94.047
2898,133,80.0,213.0,Hg,x,8200#,300#,7739#,1#,B-,6416.0,301#,213.008803,322#
2899,132,81.0,213.0,Tl,x,1783.811,27.013,7765.4311,0.1268,B-,4987.4088,27.8941,213.001915,29.000
2900,131,82.0,213.0,Pb,+a,-3203.598,6.954,7785.1732,0.0326,B-,2028.073,8.3708,212.996560796,7.465
2901,130,83.0,213.0,Bi,NA,-5231.671,5.082,7791.0217,0.0239,B-,1421.8481,5.4898,212.99438357,5.455
2902,129,84.0,213.0,Po,NA,-6653.519,3.053,7794.0240,0.0143,B-,-73.9972,5.4646,212.992857154,3.277
2903,128,85.0,213.0,At,-a,-6579.522,4.898,7790.0036,0.0230,B-,-883.5727,5.7243,212.992936593,5.258
2904,127,86.0,213.0,Rn,-a,-5695.949,3.370,7782.1824,0.0158,B-,-2141.7493,5.6996,212.993885147,3.618
2905,126,87.0,213.0,Fr,NA,-3554.199,4.707,7768.4543,0.0221,B-,-3899.7568,10.8862,212.99618441,5.053
2906,125,88.0,213.0,Ra,NA,345.557,9.818,7746.4726,0.0461,B-,-5795.4721,15.2463,213.000370971,10.540
2907,124,89.0,213.0,Ac,NA,6141.029,11.665,7715.5908,0.0548,B-,-5979.0781,14.8635,213.006592665,12.522
2908,123,90.0,213.0,Th,-a,12120.108,9.217,7683.8470,0.0433,B-,-7534.0866,57.9078,213.01301147,9.895
2909,122,91.0,213.0,Pa,-a,19654.194,57.170,7644.8027,0.2684,B-,*,NA,213.021099644,61.374
2910,134,80.0,214.0,Hg,x,11770#,400#,7724#,2#,B-,5306.0,445#,214.012636,429#
2911,133,81.0,214.0,Tl,x,6465#,196#,7745#,1#,B-,6648.0,196#,214.00694,210#
2912,132,82.0,214.0,Pb,NA,-183.019,1.969,7772.3955,0.0092,B-,1017.7611,11.2559,213.999803521,2.114
2913,131,83.0,214.0,Bi,NA,-1200.78,11.209,7773.4955,0.0524,B-,3269.1925,11.1649,213.998710909,12.033
2914,130,84.0,214.0,Po,NA,-4469.972,1.449,7785.1163,0.0068,B-,-1090.8208,3.7750,213.995201287,1.556
2915,129,85.0,214.0,At,NA,-3379.151,3.982,7776.3632,0.0186,B-,940.5125,9.8827,213.996372331,4.274
2916,128,86.0,214.0,Rn,-a,-4319.664,9.187,7777.1023,0.0429,B-,-3361.3369,12.4238,213.99536265,9.862
2917,127,87.0,214.0,Fr,-a,-958.327,8.519,7757.7393,0.0398,B-,-1051.0675,9.9879,213.998971193,9.145
2918,126,88.0,214.0,Ra,-a,92.740,5.250,7749.1719,0.0245,B-,-6340.5313,14.5317,214.00009956,5.636
2919,125,89.0,214.0,Ac,NA,6433.272,13.551,7715.8874,0.0633,B-,-4261.6599,17.2389,214.0069064,14.547
2920,124,90.0,214.0,Th,-a,10694.932,10.661,7692.3173,0.0498,B-,-8764.963,81.9051,214.01148148,11.445
2921,123,91.0,214.0,Pa,-a,19459.895,81.208,7647.7037,0.3795,B-,*,NA,214.020891055,87.180
2922,135,80.0,215.0,Hg,x,17110#,400#,7701#,2#,B-,7079.0,500#,215.018368,429#
2923,134,81.0,215.0,Tl,x,10030#,300#,7730#,1#,B-,5688.0,305#,215.010768,322#
2924,133,82.0,215.0,Pb,+a,4342.245,52.685,7752.7381,0.2450,B-,2712.9729,52.9848,215.004661591,56.560
2925,132,83.0,215.0,Bi,NA,1629.272,5.624,7761.7177,0.0262,B-,2171.0426,5.5297,215.001749095,6.037
2926,131,84.0,215.0,Po,NA,-541.771,2.120,7768.1768,0.0099,B-,714.8128,6.6491,214.999418385,2.276
2927,130,85.0,215.0,At,-a,-1256.583,6.629,7767.8627,0.0308,B-,-87.5935,8.9062,214.998651002,7.116
2928,129,86.0,215.0,Rn,-a,-1168.990,6.090,7763.8164,0.0283,B-,-1487.1274,9.1890,214.998745037,6.538
2929,128,87.0,215.0,Fr,-a,318.137,7.066,7753.2607,0.0329,B-,-2213.8573,9.7691,215.000341534,7.585
2930,127,88.0,215.0,Ra,-a,2531.995,7.201,7739.3249,0.0335,B-,-3498.5554,14.3395,215.002718208,7.730
2931,126,89.0,215.0,Ac,-a,6030.550,12.406,7719.4137,0.0577,B-,-4890.8833,13.9296,215.006474061,13.318
2932,125,90.0,215.0,Th,-a,10921.434,6.335,7693.0266,0.0295,B-,-6883.1037,82.6932,215.01172464,6.800
2933,124,91.0,215.0,Pa,-a,17804.537,82.450,7657.3733,0.3835,B-,-7084.7747,132.8246,215.019113955,88.513
2934,123,92.0,215.0,U,-a,24889.312,104.136,7620.7821,0.4844,B-,*,NA,215.026719774,111.794
2935,136,80.0,216.0,Hg,x,20920#,400#,7685#,2#,B-,6050.0,500#,216.022459,429#
2936,135,81.0,216.0,Tl,x,14870#,300#,7709#,1#,B-,7361.0,361#,216.015964,322#
2937,134,82.0,216.0,Pb,x,7510#,200#,7740#,1#,B-,1636.0,201#,216.008062,215#
2938,133,83.0,216.0,Bi,x,5873.988,11.178,7743.4996,0.0518,B-,4091.652,11.3243,216.006305985,12.000
2939,132,84.0,216.0,Po,NA,1782.336,1.815,7758.8205,0.0084,B-,-474.3423,3.5713,216.001913416,1.948
2940,131,85.0,216.0,At,-a,2256.678,3.575,7753.0024,0.0166,B-,2003.3657,6.6383,216.002422643,3.837
2941,130,86.0,216.0,Rn,-a,253.312,5.768,7758.6553,0.0267,B-,-2717.7096,6.9366,216.000271942,6.192
2942,129,87.0,216.0,Fr,-a,2971.022,4.174,7742.4513,0.0193,B-,-320.4441,8.8904,216.003189523,4.480
2943,128,88.0,216.0,Ra,-a,3291.466,8.004,7737.3458,0.0371,B-,-4858.2701,12.2147,216.003533534,8.592
2944,127,89.0,216.0,Ac,NA,8149.736,9.230,7711.2319,0.0427,B-,-2148.8006,14.4375,216.008749101,9.908
2945,126,90.0,216.0,Th,-a,10298.537,11.104,7697.6617,0.0514,B-,-7525.2616,27.0327,216.011055933,11.920
2946,125,91.0,216.0,Pa,-a,17823.799,24.647,7659.2006,0.1141,B-,-5242.6308,37.3721,216.019134633,26.459
2947,124,92.0,216.0,U,-a,23066.429,28.093,7631.3072,0.1301,B-,*,NA,216.024762829,30.158
2948,136,81.0,217.0,Tl,x,18660#,400#,7693#,2#,B-,6399.0,500#,217.020032,429#
2949,135,82.0,217.0,Pb,x,12260#,300#,7719#,1#,B-,3530.0,300#,217.013162,322#
2950,134,83.0,217.0,Bi,x,8729.963,17.698,7731.8491,0.0816,B-,2846.5103,18.8695,217.009372,19.000
2951,133,84.0,217.0,Po,+a,5883.452,6.544,7741.3614,0.0302,B-,1488.8543,7.9791,217.006316145,7.025
2952,132,85.0,217.0,At,NA,4394.598,5.001,7744.6172,0.0230,B-,736.032,6.1505,217.004717794,5.368
2953,131,86.0,217.0,Rn,-a,3658.566,4.198,7744.4037,0.0193,B-,-656.0967,7.5383,217.003927632,4.506
2954,130,87.0,217.0,Fr,-a,4314.663,6.531,7737.7750,0.0301,B-,-1574.8729,9.4723,217.00463198,7.011
2955,129,88.0,217.0,Ra,-a,5889.536,7.047,7726.9122,0.0325,B-,-2812.7853,13.2129,217.006322676,7.564
2956,128,89.0,217.0,Ac,-a,8702.321,11.223,7710.3448,0.0517,B-,-3503.459,15.4454,217.009342325,12.048
2957,127,90.0,217.0,Th,-a,12205.780,10.614,7690.5945,0.0489,B-,-4848.968,16.3966,217.013103443,11.394
2958,126,91.0,217.0,Pa,-a,17054.748,12.498,7664.6438,0.0576,B-,-5916.0,81#,217.018309024,13.417
2959,125,92.0,217.0,U,-a,22971#,81#,7634#,0#,B-,*,NA,217.02466,86#
2960,137,81.0,218.0,Tl,x,23710#,400#,7672#,2#,B-,8081.0,500#,218.025454,429#
2961,136,82.0,218.0,Pb,x,15630#,300#,7705#,1#,B-,2414.0,301#,218.016779,322#
2962,135,83.0,218.0,Bi,x,13216.038,27.013,7712.8280,0.1239,B-,4859.3866,27.0849,218.014188,29.000
2963,134,84.0,218.0,Po,NA,8356.652,1.967,7731.5300,0.0090,B-,256.4334,11.5490,218.008971234,2.112
2964,133,85.0,218.0,At,-a,8100.218,11.503,7729.1175,0.0528,B-,2882.8048,11.6054,218.008695941,12.349
2965,132,86.0,218.0,Rn,NA,5217.413,2.316,7738.7527,0.0106,B-,-1842.0267,4.4418,218.005601123,2.486
2966,131,87.0,218.0,Fr,-a,7059.440,4.235,7726.7143,0.0194,B-,413.8838,10.5603,218.00757862,4.546
2967,130,88.0,218.0,Ra,-a,6645.556,9.807,7725.0241,0.0450,B-,-4205.2887,58.4224,218.007134297,10.528
2968,129,89.0,218.0,Ac,-a,10850.845,57.616,7702.1450,0.2643,B-,-1515.9019,58.5648,218.01164886,61.853
2969,128,90.0,218.0,Th,-a,12366.747,10.516,7691.6026,0.0482,B-,-6282.8212,20.7132,218.013276248,11.289
2970,127,91.0,218.0,Pa,-a,18649.568,17.846,7659.1935,0.0819,B-,-3245.0869,22.5042,218.020021133,19.158
2971,126,92.0,218.0,U,-a,21894.655,13.714,7640.7191,0.0629,B-,*,NA,218.023504877,14.722
2972,137,82.0,219.0,Pb,x,20620#,400#,7684#,2#,B-,4300.0,447#,219.022136,429#
2973,136,83.0,219.0,Bi,x,16320#,200#,7700#,1#,B-,3638.0,201#,219.01752,215#
2974,135,84.0,219.0,Po,x,12681.361,15.835,7713.3340,0.0723,B-,2285.3395,16.1628,219.013614,17.000
2975,134,85.0,219.0,At,NA,10396.021,3.237,7720.1970,0.0148,B-,1566.6838,2.9473,219.011160587,3.474
2976,133,86.0,219.0,Rn,NA,8829.337,2.100,7723.7784,0.0096,B-,212.3984,6.8938,219.009478683,2.254
2977,132,87.0,219.0,Fr,-a,8616.939,6.874,7721.1759,0.0314,B-,-776.9137,9.5906,219.009250664,7.380
2978,131,88.0,219.0,Ra,-a,9393.853,6.814,7714.0560,0.0311,B-,-2175.7005,51.9016,219.010084715,7.315
2979,130,89.0,219.0,Ac,-a,11569.553,51.477,7700.5489,0.2351,B-,-2893.2268,76.3627,219.012420425,55.263
2980,129,90.0,219.0,Th,-a,14462.780,56.460,7683.7655,0.2578,B-,-4120.4434,89.7010,219.015526432,60.611
2981,128,91.0,219.0,Pa,-a,18583.223,69.705,7661.3783,0.3183,B-,-4712.7298,70.9693,219.019949909,74.831
2982,127,92.0,219.0,U,-a,23295.953,13.338,7636.2867,0.0609,B-,-6140.9976,92.9309,219.025009233,14.319
2983,126,93.0,219.0,Np,-a,29436.951,91.969,7604.6732,0.4199,B-,*,NA,219.031601865,98.732
2984,138,82.0,220.0,Pb,x,24130#,400#,7670#,2#,B-,3171.0,500#,220.025905,429#
2985,137,83.0,220.0,Bi,x,20960#,300#,7681#,1#,B-,5696.0,300#,220.022501,322#
2986,136,84.0,220.0,Po,x,15263.462,17.698,7703.2244,0.0804,B-,887.7139,22.5491,220.016386,19.000
2987,135,85.0,220.0,At,x,14375.748,13.972,7703.7033,0.0635,B-,3763.755,14.0896,220.015433,15.000
2988,134,86.0,220.0,Rn,NA,10611.994,1.814,7717.2552,0.0082,B-,-870.3384,4.0256,220.011392443,1.947
2989,133,87.0,220.0,Fr,-a,11482.332,4.028,7709.7430,0.0183,B-,1210.2406,8.4809,220.012326789,4.324
2990,132,88.0,220.0,Ra,-a,10272.091,7.595,7711.6879,0.0345,B-,-3471.664,9.6266,220.011027542,8.153
2991,131,89.0,220.0,Ac,-a,13743.755,6.129,7692.3515,0.0279,B-,-945.7825,14.9144,220.014754527,6.579
2992,130,90.0,220.0,Th,-a,14689.538,13.687,7684.4964,0.0622,B-,-5588.8595,20.0508,220.015769866,14.693
2993,129,91.0,220.0,Pa,-a,20278.397,14.655,7655.5364,0.0666,B-,-2735.0,102#,220.021769753,15.732
2994,128,92.0,220.0,U,-a,23013#,101#,7640#,0#,B-,-7462.0,105#,220.024706,108#
2995,127,93.0,220.0,Np,-a,30475.022,30.718,7602.0758,0.1396,B-,*,NA,220.03271628,32.977
2996,138,83.0,221.0,Bi,x,24200#,300#,7668#,1#,B-,4426.0,301#,221.02598,322#
2997,137,84.0,221.0,Po,x,19773.757,19.561,7684.4814,0.0885,B-,2991.0276,24.0390,221.021228,21.000
2998,136,85.0,221.0,At,x,16782.729,13.972,7694.4754,0.0632,B-,2311.375,15.0957,221.018017,15.000
2999,135,86.0,221.0,Rn,+a,14471.354,5.714,7701.3941,0.0259,B-,1194.1032,7.2312,221.015535637,6.134
3000,134,87.0,221.0,Fr,NA,13277.251,4.886,7703.2572,0.0221,B-,313.3741,6.3858,221.014253714,5.245
3001,133,88.0,221.0,Ra,-a,12963.877,4.630,7701.1352,0.0210,B-,-1567.1715,57.0591,221.013917293,4.970
3002,132,89.0,221.0,Ac,-a,14531.048,56.901,7690.5039,0.2575,B-,-2408.8773,57.4376,221.015599721,61.086
3003,131,90.0,221.0,Th,-a,16939.926,7.994,7676.0640,0.0362,B-,-3435.0112,59.9069,221.018185757,8.582
3004,130,91.0,221.0,Pa,-a,20374.937,59.380,7656.9809,0.2687,B-,-4145.059,93.4311,221.021873393,63.746
3005,129,92.0,221.0,U,-a,24519.996,72.135,7634.6849,0.3264,B-,-5390.0,213#,221.026323297,77.440
3006,128,93.0,221.0,Np,x,29910#,200#,7607#,1#,B-,-6019.0,361#,221.03211,215#
3007,127,94.0,221.0,Pu,x,35930#,300#,7576#,1#,B-,*,NA,221.038572,322#
3008,139,83.0,222.0,Bi,x,28950#,300#,7648#,1#,B-,6464.0,303#,222.031079,322#
3009,138,84.0,222.0,Po,x,22486.268,40.054,7674.0054,0.1804,B-,1533.2393,43.0709,222.02414,43.000
3010,137,85.0,222.0,At,x,20953.028,15.835,7677.3878,0.0713,B-,4581.0714,15.9542,222.022494,17.000
3011,136,86.0,222.0,Rn,NA,16371.957,1.944,7694.4991,0.0088,B-,-6.1461,7.7013,222.017576017,2.086
3012,135,87.0,222.0,Fr,x,16378.103,7.452,7690.9474,0.0336,B-,2057.898,8.6816,222.017582615,8.000
3013,134,88.0,222.0,Ra,NA,14320.205,4.454,7696.6931,0.0201,B-,-2301.5922,6.2737,222.015373371,4.781
3014,133,89.0,222.0,Ac,-a,16621.797,4.699,7682.8015,0.0212,B-,-581.2415,11.1289,222.017844232,5.044
3015,132,90.0,222.0,Th,-a,17203.039,10.216,7676.6592,0.0460,B-,-4861.322,87.1915,222.01846822,10.966
3016,131,91.0,222.0,Pa,-a,22064.361,86.606,7651.2373,0.3901,B-,-2208.4729,101.0129,222.023687064,92.975
3017,130,92.0,222.0,U,-a,24272.834,51.994,7637.7651,0.2342,B-,-7001.8072,64.4300,222.026057957,55.817
3018,129,93.0,222.0,Np,-a,31274.641,38.051,7602.7013,0.1714,B-,-3785.0,302#,222.033574706,40.849
3019,128,94.0,222.0,Pu,x,35060#,300#,7582#,1#,B-,*,NA,222.037638,322#
3020,140,83.0,223.0,Bi,x,32240#,400#,7636#,2#,B-,5161.0,445#,223.034611,429#
3021,139,84.0,223.0,Po,x,27079#,196#,7655#,1#,B-,3651.0,196#,223.02907,210#
3022,138,85.0,223.0,At,x,23428.008,13.972,7668.0557,0.0627,B-,3038.2698,16.0129,223.025151,15.000
3023,137,86.0,223.0,Rn,NA,20389.738,7.822,7678.1720,0.0351,B-,2007.4091,8.0568,223.021889283,8.397
3024,136,87.0,223.0,Fr,NA,18382.329,1.931,7683.6655,0.0087,B-,1149.0844,0.8476,223.019734241,2.073
3025,135,88.0,223.0,Ra,NA,17233.245,2.090,7685.3101,0.0094,B-,-591.8099,6.9657,223.018500648,2.243
3026,134,89.0,223.0,Ac,-a,17825.055,6.947,7679.1479,0.0312,B-,-1560.3471,10.4712,223.019135982,7.457
3027,133,90.0,223.0,Th,-a,19385.402,7.943,7668.6426,0.0356,B-,-2952.2124,76.0305,223.020811083,8.527
3028,132,91.0,223.0,Pa,-a,22337.614,75.632,7651.8957,0.3392,B-,-3707.6637,95.9225,223.023980414,81.193
3029,131,92.0,223.0,U,-a,26045.278,59.054,7631.7611,0.2648,B-,-4613.3046,101.7520,223.027960754,63.396
3030,130,93.0,223.0,Np,-a,30658.583,82.863,7607.5654,0.3716,B-,-5462.0,311#,223.03291334,88.956
3031,129,94.0,223.0,Pu,x,36121#,300#,7580#,1#,B-,-6579.0,424#,223.038777,322#
3032,128,95.0,223.0,Am,x,42700#,300#,7547#,1#,B-,*,NA,223.04584,322#
3033,141,83.0,224.0,Bi,x,37070#,400#,7616#,2#,B-,7159.0,445#,224.039796,429#
3034,140,84.0,224.0,Po,x,29910#,196#,7644#,1#,B-,2199.0,197#,224.03211,210#
3035,139,85.0,224.0,At,x,27711.018,22.356,7650.7354,0.0998,B-,5265.9197,24.4153,224.029749,24.000
3036,138,86.0,224.0,Rn,NA,22445.098,9.814,7670.7514,0.0438,B-,696.484,14.8750,224.024095803,10.536
3037,137,87.0,224.0,Fr,x,21748.614,11.178,7670.3680,0.0499,B-,2922.7819,11.3237,224.023348096,12.000
3038,136,88.0,224.0,Ra,NA,18825.832,1.811,7679.9236,0.0081,B-,-1408.3152,4.0869,224.020210361,1.944
3039,135,89.0,224.0,Ac,-a,20234.148,4.089,7670.1438,0.0183,B-,238.5672,10.3428,224.021722249,4.389
3040,134,90.0,224.0,Th,-a,19995.581,9.604,7667.7162,0.0429,B-,-3866.7705,12.1339,224.021466137,10.310
3041,133,91.0,224.0,Pa,-a,23862.351,7.587,7646.9612,0.0339,B-,-1880.3393,16.9711,224.025617286,8.145
3042,132,92.0,224.0,U,-a,25742.690,15.261,7635.0742,0.0681,B-,-6289.5572,32.7036,224.027635913,16.383
3043,131,93.0,224.0,Np,NA,32032.248,28.925,7603.5032,0.1291,B-,-3248.0,301#,224.03438803,31.052
3044,130,94.0,224.0,Pu,x,35280#,300#,7586#,1#,B-,-7980.0,500#,224.037875,322#
3045,129,95.0,224.0,Am,x,43260#,400#,7546#,2#,B-,*,NA,224.046442,429#
3046,141,84.0,225.0,Po,x,34580#,300#,7626#,1#,B-,4280.0,424#,225.037123,322#
3047,140,85.0,225.0,At,x,30300#,300#,7641#,1#,B-,3765.0,300#,225.032528,322#
3048,139,86.0,225.0,Rn,NA,26534.143,11.140,7654.3581,0.0495,B-,2713.5412,16.3492,225.028485572,11.958
3049,138,87.0,225.0,Fr,NA,23820.602,11.967,7662.9412,0.0532,B-,1827.5584,12.1574,225.025572466,12.847
3050,137,88.0,225.0,Ra,NA,21993.044,2.596,7667.5866,0.0115,B-,355.7386,5.0067,225.023610502,2.786
3051,136,89.0,225.0,Ac,NA,21637.305,4.758,7665.6906,0.0211,B-,-672.8878,6.6576,225.023228601,5.107
3052,135,90.0,225.0,Th,-a,22310.193,5.093,7659.2229,0.0226,B-,-2046.4473,82.0038,225.023950975,5.467
3053,134,91.0,225.0,Pa,-a,24356.640,81.867,7646.6504,0.3639,B-,-3015.361,82.4514,225.026147927,87.887
3054,133,92.0,225.0,U,-a,27372.001,9.934,7629.7717,0.0442,B-,-4246.0969,92.1491,225.02938505,10.664
3055,132,93.0,225.0,Np,-a,31618.098,91.618,7607.4231,0.4072,B-,-4682.0,314#,225.033943422,98.355
3056,131,94.0,225.0,Pu,x,36300#,300#,7583#,1#,B-,-6090.0,500#,225.03897,322#
3057,130,95.0,225.0,Am,x,42390#,400#,7553#,2#,B-,*,NA,225.045508,429#
3058,142,84.0,226.0,Po,x,37549#,401#,7614#,2#,B-,2889.0,500#,226.04031,430#
3059,141,85.0,226.0,At,x,34660#,300#,7624#,1#,B-,5913.0,300#,226.037209,322#
