energy,unc_en,intensity_%,unc_i,type,shell, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
4.474, ,2.2518329557199652,0.07497343754580518,X,KpB1,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.474, ,0.16275184624069267,0.006429131576030816,X,KB,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.474, ,0.06010802909090909,0.002254294549219683,X,KB,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.474, ,2.020746370909091,0.06484304668045641,X,KpB1,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.474, ,0.008140114285714286,0.022386657653899453,X,KpB1,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.474, ,0.00008659519355844157,0.000004137387229320166,X,KpB1,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.474, ,2.020746370909091,0.06484304668045641,X,KB,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
4.589, ,0.0075699407225,0.0005700372026538156,X,L1N2,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
4.595, ,0.478709241348,0.012196087371460981,X,L3,55,82,Cs, ,0, ,7/2+,30.08, ,9,Y,949232333.3157274,2840123.33771328,B-,100, ,1175.63,17,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2022-05-11
4.599, ,0.012577747662,0.0009344469699019255,X,L1N3,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
4.694, ,0.00108308382645,0.00009881810354432707,X,L1O23,50,71,Sn, ,6.31,0.06,11/2-,43.9, ,5,Y,1385349050.2845888,15778462.987296,B-,22.4,2,402.5,25,51,70,Sb,20-Jan-2009,S. OHYA,2022-05-11
4.829, ,0.2385388471590495,0.006759487211602439,X,L2M4,55,82,Cs, ,0, ,7/2+,30.08, ,9,Y,949232333.3157274,2840123.33771328,B-,100, ,1175.63,17,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2022-05-11
4.853, ,0.02385426632775,0.0010206756386554128,X,L1M2,55,82,Cs, ,0, ,7/2+,30.08, ,9,Y,949232333.3157274,2840123.33771328,B-,100, ,1175.63,17,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2022-05-11
4.928, ,0.03706346918025,0.0016054962628672157,X,L1M3,55,82,Cs, ,0, ,7/2+,30.08, ,9,Y,949232333.3157274,2840123.33771328,B-,100, ,1175.63,17,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2022-05-11
4.966, ,0.914869252,0.043194756483753705,X,L,55,82,Cs, ,0, ,7/2+,30.08, ,9,Y,949232333.3157274,2840123.33771328,B-,100, ,1175.63,17,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2022-05-11
4.966, ,0.914869252,0.043194756483753705,X,L,55,82,Cs, ,0, ,7/2+,30.08, ,9,Y,949232333.3157274,2840123.33771328,B-,100, ,1175.63,17,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2022-05-11
4.972, ,0.28878795055575,0.007398948750232022,X,L2,55,82,Cs, ,0, ,7/2+,30.08, ,9,Y,949232333.3157274,2840123.33771328,B-,100, ,1175.63,17,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2022-05-11
4.992, ,0.00002682288357096348,0.0000008404726348155413,X,L3M1,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
4.992, ,0.000005923235021573376,0.0000015125818240158669,X,L3M1,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
4.992, ,0.00002087326860975589,0.000001920727277316804,X,L3M1,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
4.992, ,0.000009359955287807905,0.0000005163709780585408,X,L3M1,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
4.992, ,0.00001553635415494656,0.000004754532904202111,X,L3M1,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
4.992, ,0.003688651247232,0.00018429410264047096,X,L3M1,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
4.992, ,0.000005288335933510656,0.000001183392902465285,X,L3M1,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
4.992, ,0.000005620328265212388,0.00000016392667016400906,X,L3M1,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
4.992, ,0.000001008903890180628,0.00000006237038034772457,X,L3M1,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
4.992, ,0.00001688084634143232,0.0000044942934207629875,X,L3M1,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
4.992, ,0.0000016546865849046,0.000000047592914378498036,X,L3M1,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
4.992, ,0.000003214301308542792,0.00000011953985523010566,X,L3M1,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
4.992, ,0.0000013118820820250185,0.00000004446849474833393,X,L3M1,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
4.992, ,0.00000063149518227042,0.0000000426576012771614,X,L3M1,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
4.992, ,0.0033462748469909173,0.00011448403840208892,X,L3M1,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
4.992, ,0.00000031304291794334207,0.00000009308581321106482,X,L3M1,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
4.992, ,0.0226638681362016,0.0006599835983257118,X,L3M1,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
