energy,unc_en,intensity_%,unc_i,type,shell, parent Z, N, symbol, parent energy shift,parent energy  [keV] , unc, jp,  half_life, half-life operator,unc,unit, half_life [s], unc, decay, decay %, unc,Q , unc, Z,N, symbol ,ENSDF_publication_cut-off,ENSDF_authors,Extraction_date
43.169, ,0.349272,0.008762282807579312,CE,O,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
46.12, ,0.016968,0.0016355304949770885,CE,L,65,92,Tb, ,0, ,3/2+,71, ,7,Y,2240541744.196032,220898481.822144,EC,100, ,60.0,14,64,93,Gd,4-Dec-2015,N. NICA,2022-05-11
52.595, ,6.2183828,0.10372161335694612,CE,M,92,140,U, ,0, ,0+,68.9, ,4,Y,2174272199.649389,12622770.3898368,A,100, ,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2022-05-11
52.616, ,0.0037968,0.0003663495598468763,CE,M,65,92,Tb, ,0, ,3/2+,71, ,7,Y,2240541744.196032,220898481.822144,EC,100, ,60.0,14,64,93,Gd,4-Dec-2015,N. NICA,2022-05-11
54.12, ,0.00086352,0.0000831996249991549,CE,N,65,92,Tb, ,0, ,3/2+,71, ,7,Y,2240541744.196032,220898481.822144,EC,100, ,60.0,14,64,93,Gd,4-Dec-2015,N. NICA,2022-05-11
54.454, ,0.000126336,0.000012160621694633874,CE,O,65,92,Tb, ,0, ,3/2+,71, ,7,Y,2240541744.196032,220898481.822144,EC,100, ,60.0,14,64,93,Gd,4-Dec-2015,N. NICA,2022-05-11
56.447, ,2.2794072,0.03802014123052044,CE,N+,92,140,U, ,0, ,0+,68.9, ,4,Y,2174272199.649389,12622770.3898368,A,100, ,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2022-05-11
57.147, ,0.000000000791, ,CE,M,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
61.254, ,0.000000000266, ,CE,N+,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
61.254, ,0.000000000209, ,CE,N,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
62.371, ,0.0000000000481, ,CE,O,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
63.3739, ,7.1257916,0.18205871862224887,CE,K,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
67.3649, ,0.61769264,0.015781591274826794,CE,L,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
70.96, ,0.00549130296,0.0005201732151492123,CE,L,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
73.8294, ,2.63172,0.05877981201239759,CE,K,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
76.972, ,0.00117846144,0.0001123399167041742,CE,M,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
77.3, ,0.00000000010464, ,CE,K,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
77.8204, ,0.234252,0.005232049201103522,CE,L,22,22,Ti, ,0, ,0+,59.1, ,3,Y,1865014325.0983872,9467077.7923776,EC,100, ,267.4,19,21,23,Sc,31-Jul-2011,JUN CHEN and  BALRAJ SINGH AND JOHN A. CAMERON,2022-05-11
78.091, ,0.0712233,0.0012855049280341168,CE,L,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
78.351, ,0.000261061944,0.000024776272505236937,CE,N,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
78.351, ,0.00029870724,0.000028371095025568255,CE,N+,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
78.656, ,0.000036417732,0.0000034503793017488146,CE,O,63,87,Eu, ,0, ,5-,36.9, ,9,Y,1164450568.4624448,28401233.3771328,EC+B+,100, ,2259,6,62,88,Sm,1-Apr-2013,S. K. Basu and  A. A. Sonzogni,2022-05-11
81.35000000000001, ,0.000005411028,0.0000004572380916637301,CE,K,92,140,U, ,0, ,0+,68.9, ,4,Y,2174272199.649389,12622770.3898368,A,100, ,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2022-05-11
85.36, ,0.00000059826,0.00000003185716245995553,CE,K,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
87.51, ,0.0000000072, ,CE,K,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
94.3, ,0.0197559,0.00036336317920229613,CE,M,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
98.407, ,0.00680157,0.00012063367067282666,CE,N+,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
98.407, ,0.00536544,0.00009948512702911928,CE,N,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
99.524, ,0.001232739,0.000022115985169103364,CE,O,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
99.85000000000001, ,0.0000007178444,0.0000001753721926936874,CE,K,92,140,U, ,0, ,0+,68.9, ,4,Y,2174272199.649389,12622770.3898368,A,100, ,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2022-05-11
108.605, ,0.175260379,0.002649012590698812,CE,L,92,140,U, ,0, ,0+,68.9, ,4,Y,2174272199.649389,12622770.3898368,A,100, ,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2022-05-11
118.388, ,0.00000000358, ,CE,L,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
120.29, ,0.000000000532,0.00000000026612027356065904,CE,K,94,144,Pu, ,0, ,0+,87.7, ,1,Y,2767542407.9717183,3155692.5974592,A,100, ,5593.27,19,92,142,U,1-Jun-2006,E. BROWNE and  J. K. TULI,2022-05-11
120.525, ,0.0000001140636,0.00000004755332019112453,CE,L,92,140,U, ,0, ,0+,68.9, ,4,Y,2174272199.649389,12622770.3898368,A,100, ,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2022-05-11
123.895, ,0.0481454582,0.0007277054042931368,CE,M,92,140,U, ,0, ,0+,68.9, ,4,Y,2174272199.649389,12622770.3898368,A,100, ,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2022-05-11
127.747, ,0.0179352061,0.00027108572426217417,CE,N+,92,140,U, ,0, ,0+,68.9, ,4,Y,2174272199.649389,12622770.3898368,A,100, ,5413.63,9,90,138,Th,31-Dec-2012,KHALIFEH ABUSALEEM,2022-05-11
