,Isotope,Residuals (W/g),Power density (W/g),Half life (years),Half life (log(years))
1733,198Po,-907.86540945264,9070.168820706096,3.346262073161457e-06,-12.607666634150794
1734,174Tm,-2444.145137381659,3371.400156582562,1.026694045174538e-05,-11.486581489630627
1735,144Xe,-4.194894466209271,1586858.5498043748,1.2294978071843232e-08,-18.21407494478182
1736,283Cn,-60.98136999492806,133000.65325613465,1.4893401272593605e-07,-15.719762496706943
1737,85Sr,-69881912.17760536,0.11796418163430276,0.17753867214236824,-1.7285668225725452
1738,65Mn,-0.9530574646617592,4220850.050852589,2.9121352701092607e-09,-19.65437925504345
1739,87Ga,-1.6127065157869962,3155181.2839386207,9.189545466068395e-10,-20.80778445441862
1740,168Tm,-58548885.343514636,0.14079794192274575,0.2548939082819986,-1.3669078663477876
1741,197W,-10.832257093990782,696702.4662794264,3.168808781402895e-08,-17.267325005422958
1742,108I,-2.2433598125788343,2541673.81215748,8.365655182903642e-10,-20.901716274252824
1743,148Cs,-3.491302643471813,1835450.2810042824,4.8102517301695944e-09,-19.152516419443565
1744,201Pb,-6209.23550989661,1327.4154717480042,0.0010643394934976044,-6.845400866119502
1745,149Pm,-136291.33218090737,60.48442026873191,0.006055213324207164,-5.106835671514748
1746,192Bi,-289.7141189214651,28356.25159733838,1.0964078383654016e-06,-13.723471323359277
1747,141Nd,-73663.04537956006,111.90754806581664,0.0002840520191649555,-8.166353170502138
1748,157La,-3.7148841724065957,1748412.5585269455,9.506426344208685e-10,-20.773882902742937
1749,165Pt,-3.955133046975835,1663641.0406914786,1.1724592491190712e-11,-25.16933255774896
1750,166Ho,-481709.0282703095,17.113122449694522,0.0030586356376910793,-5.789786332483043
1751,149Yb,-6.119530838981151,1157880.0465193742,2.2181661469820265e-08,-17.62399994936169
1752,80As,-52.89446467727568,152957.5021924556,4.8165893477324e-07,-14.546029577570724
1753,138Nd,-151291.86153242915,54.48745311270773,0.0005749486652977413,-7.461229798895477
1754,155Sm,-544.7576792663658,15104.803857486744,4.217050726290972e-05,-10.073789461278635
1755,88Tc,-24.746268375903878,320184.7575997004,2.0280376200978527e-07,-15.41102701505733
1756,203Ir,-63.66432064473109,127482.39859081098,2.2181661469820262e-07,-15.321414856367642
1757,251Bk,-36280.96464078445,227.20827773943233,0.00010571146094760057,-9.154797241944319
1758,6Be,0.8198133437463333,45750128.619015664,1.5844043907014474e-28,-64.01217404586382
1759,216Pb,-934.3396019209937,8813.443461717055,3.156133546277283e-06,-12.666162840832403
1760,139Ba,-614.5826587821003,13391.479732949421,0.00015767358734504526,-8.754983564737742
1761,241Fm,-6.237497359522281,1139007.3515107634,2.3132304104241133e-11,-24.489791029244792
1762,289Lv,-7.678990609551614,949829.6599103598,5.070094050244632e-10,-21.402491562165313
1763,154Tm,-55.389890252245905,146188.66364449591,2.5667351129363447e-07,-15.175460943744563
1764,124Cd,-7.748620619810524,942269.9940112564,3.9610109767536186e-08,-17.044181454108745
1765,218Th,-5.546781843883224,1259177.8518995137,3.865946713311532e-15,-33.18656979763611
1766,40Si,-0.20124437529436418,6862519.291310343,9.886683397977032e-10,-20.734662189589656
1767,260Bh,-6.808088792758119,1055772.1508855524,1.2992116003751868e-09,-20.461508217700786
1768,85Zr,-1737.031950544569,4743.044393661866,1.4944102213096053e-05,-11.11119383675974
1769,96In,-1.8829865000586676,2859383.038688479,3.168808781402895e-11,-24.175080284405094
1770,198Bi,-5303.483575617238,1554.0745072580194,1.9583238269069892e-05,-10.840836547965266
1771,139Ce,-107239334.51871237,0.07687069916240932,0.3768432580424367,-0.9759259391474063
1772,148Dy,-1270.8408659016334,6481.599168612647,6.2742413871777315e-06,-11.979057974728422
1773,147Ho,-38.190760448212195,210344.5456213818,1.837909093213679e-07,-15.509467087870583
1774,174Hg,-4.225413031356334,1577590.642035023,6.33761756280579e-11,-23.481933103845147
1775,122I,-15.171926765207445,509745.24054678227,6.901665525895505e-06,-11.883747794924096
1776,175Re,-2681.108511762679,3073.538099924956,1.119857023347783e-05,-11.39972444553736
1777,163Tb,-8264.09823523658,997.394400455018,3.707506274241387e-05,-10.202565977631155
1778,187Ta,-1119.8741139872504,7354.5838878471795,4.372956118335995e-06,-12.340071320265752
1779,31Ne,0.06903560935605521,8854863.60368045,1.0773949856769842e-10,-22.95130485278298
1780,170Hf,-401241.61794776923,20.545082526873305,0.0018263746292493726,-6.3054223539701315
1781,155La,-3.6596956953747983,1769120.397114806,3.2004968692169236e-09,-19.559959767563832
1782,159Nd,-5.3665951876295575,1294814.9609155378,1.5844043907014474e-08,-17.9604721859829
